ID,New_Book_Author,New_Book_Title,Series_Name,Book_Co_Author,Illustrators,Challenge_Type,Challenge_Init,Initial_Response,Challenge_Notes,Decision,Restrictions,Restriction_Details,Library_Type,Month,Year,State,Overseeing_Agency,City,County,Sch_Name,Lib_name,Police,Book_Status,Data_Entry_Date,Links1,Links2,Links3,Links4,Last_Updated,Genre
14305,"Frank, E. R.",Dime,,,,Formal,Affiliation Unknown,Off Shelves,,Still in Process,,,School,2,2024,FL,Hernando County Schools,,Hernando,,,,,02/16/2024,https://www.hernandoschools.org/departments/curriculum/public-notice-of-book-objections,,,,,"African Americans,African americans, fiction,Children's fiction,Families,Family, fiction,Fiction,Foster children,Juvenile fiction,Prostitution,Teenage prostitution"
14306,"Andrews, Jesse",The Haters,,,,Formal,Affiliation Unknown,Off Shelves,Panel says REMOVE needs to go to board,Still in Process,,,School,2,2024,FL,Hernando County Schools,,Hernando,,,,,02/16/2024,https://www.hernandoschools.org/departments/curriculum/public-notice-of-book-objections,,,,,"Bands (Music),Bands (music), fiction,Children's fiction,Fiction,Friendship,Friendship, fiction,Humorous stories,JUVENILE FICTION / Humorous Stories,JUVENILE FICTION / Performing Arts / Music,JUVENILE FICTION / Social Issues / Friendship,Musicians,Musicians, fiction,New York Times bestseller,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:bannedbooks,nyt:young-adult-hardcover=2016-05-08"
14307,"Arnold, Elana K.",Damsel,,,,Formal,Group,Off Shelves,COMMITTEE recommends remove,Still in Process,,,School,2,2024,FL,Hernando County Schools,,Hernando,,,,,02/16/2024,https://www.hernandoschools.org/departments/curriculum/public-notice-of-book-objections,https://www.suncoastnews.com/news/hernando-school-board-to-consider-24-books-at-may-7-meeting/article_079ddca6-f907-11ee-a90c-af1e298e352e.html,,,05/05/2024,"Children's fiction,Dragons,Dragons, fiction,Fantasy,Fantasy fiction,Fiction,Juvenile fiction,Legends,Magic,Princes,collectionID:AlpineChallenge,collectionID:ConroeChallenge"
14308,"Walden, Tillie",Spinning,,,,Formal,Group,Off Shelves,Committee recommends KEEP HS,Still in Process,,,School,2,2024,FL,Hernando County Schools,,Hernando,,,,,02/16/2024,https://www.hernandoschools.org/departments/curriculum/public-notice-of-book-objections,https://www.suncoastnews.com/news/hernando-school-board-to-consider-24-books-at-may-7-meeting/article_079ddca6-f907-11ee-a90c-af1e298e352e.html,,,05/05/2024,"Biography,Cartoonists,Childhood and youth,Comic books, strips,Comics & graphic novels, nonfiction, biography & memoir,Coming out (Sexual orientation),Coming out (sexual identity),Figure skaters,Lesbian figure skaters,Lesbian teenagers,Skating,Women cartoonists,Women, united states, biography"
14309,"Maas, Sarah J.",Tower of Dawn,Throne of Glass,,,Formal,Group,Off Shelves,Committee Recommends: HS Keep; MS Limit to grade 8,Still in Process,,,School,2,2024,FL,Hernando County Schools,,Hernando,,,,,02/16/2024,https://www.hernandoschools.org/departments/curriculum/public-notice-of-book-objections,https://www.suncoastnews.com/news/hernando-school-board-to-consider-24-books-at-may-7-meeting/article_079ddca6-f907-11ee-a90c-af1e298e352e.html,,,05/05/2024,"Assassins,Children's fiction,Courts and courtiers, fiction,Criminals, fiction,Fantasy,Fantasy fiction,Fiction,Healers,Kings, queens, rulers,Magic,Princes, fiction,Queens,YOUNG ADULT FICTION / Action & Adventure / General,YOUNG ADULT FICTION / Fantasy / General,YOUNG ADULT FICTION / Romance / General,Young adult fiction,[series:Throne_of_Glass],collectionID:EanesChallenge"
14310,"Blume, Judy",Forever…,,,,Formal,Group,Off Shelves,Committee Recommends KEEP,Still in Process,,,School,2,2024,FL,Hernando County Schools,,Hernando,,,,,02/16/2024,https://www.hernandoschools.org/departments/curriculum/public-notice-of-book-objections,https://www.suncoastnews.com/news/hernando-school-board-to-consider-24-books-at-may-7-meeting/article_079ddca6-f907-11ee-a90c-af1e298e352e.html,,,05/05/2024,"Attitudes,Children's fiction,Dating (social customs), fiction,Family life,Family life in fiction,Fiction,Fiction in English,Fiction, general,First loves,Free love,High school students,High schools,High schools in fiction,History,Juvenile fiction,Love,Love in fiction,Love, fiction,New Jersey in fiction,Pregnancy,Pregnancy in fiction,Schools,Schools in fiction,Sex,Sex in fiction,Sexual behavior,Sexual ethics,Teenagers,Teenagers in fiction,Youth,birth control,collectionID:AlpineChallenge,homosexuality"
14311,"Picoult, Jodi",Nineteen Minutes,,,,Formal,Group,Off Shelves,Committee recommends KEEP,Still in Process,,,School,2,2024,FL,Hernando County Schools,,Hernando,,,,,02/16/2024,https://www.hernandoschools.org/departments/curriculum/public-notice-of-book-objections,https://www.suncoastnews.com/news/hernando-school-board-to-consider-24-books-at-may-7-meeting/article_079ddca6-f907-11ee-a90c-af1e298e352e.html,,,05/05/2024,"American Psychological fiction,Bullying,Crime, fiction,Crimes against,Fiction,Fiction, legal,Fiction, psychological,High school students,Large type books,Lawyers,Lawyers, fiction,Literature,New Hampshire,New York Times bestseller,New hampshire, fiction,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 8,Reading Level-Grade 9,School shootings,Sibling rivalry,Small cities,Teenage boys,Trials,Victims of crimes,Witnesses,Women judges,Women judges, fiction,collectionID:AlpineChallenge,nyt:mass-market-paperback=2013-02-10"
14312,"Smith, Cynthia Leitich",Tantalize,,,,Formal,Affiliation Unknown,Off Shelves,,Banned/Removed,,,School,12,2023,FL,Clay County District Schools,,Clay,,,,,02/16/2024,https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing,,,,02/16/2024,"Children's fiction,Fiction,Juvenile Fiction,Juvenile fiction,Mystery and detective stories,Orphans,Orphans, fiction,Restaurants,Restaurants, fiction,Supernatural,Supernatural, fiction,Texas, fiction,Vampires,Vampires, fiction,Werewolves,Werewolves, fiction"
14313,"Clayton, Dhonielle",The Belles,,,,Formal,Affiliation Unknown,Off Shelves,,Banned/Removed,,,School,12,2023,FL,Clay County District Schools,,Clay,,,,,02/16/2024,https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing,,,,02/16/2024,"Children's fiction,Fantasy fiction,fantasy,fiction"
14314,"Lee, Victoria",The Fever King,,,,Formal,Affiliation Unknown,Off Shelves,,Banned/Removed,,,School,12,2023,FL,Clay County District Schools,,Clay,,,,,02/16/2024,https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing,,,,02/16/2024,Children's fiction
14315,"Larsson, Stieg",The Girl with the Dragon Tattoo,,,,Formal,Affiliation Unknown,Off Shelves,,Banned/Removed,,,School,12,2023,FL,Clay County District Schools,,Clay,,,,,02/16/2024,https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing,,,,02/16/2024,"Fiction,Hackers,Investigation,Journalists,Missing persons"
14316,"Grossman, Lev",The Magician King,,,,Formal,Affiliation Unknown,Off Shelves,,Banned/Removed,,,School,12,2023,FL,Clay County District Schools,,Clay,,,,,02/16/2024,https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing,,,,02/16/2024,"College graduates,Fiction,Fiction, fantasy, contemporary,Large type books,Magic"
14317,"Grossman, Lev",The Magicians,,,,Formal,Affiliation Unknown,Off Shelves,,Banned/Removed,,,School,12,2023,FL,Clay County District Schools,,Clay,,,,,02/16/2024,https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing,,,,02/16/2024,"American literature,Books and reading,College graduates,College students,Coming of age,Drama,FICTION / Fantasy / Urban,Fiction,Fiction, coming of age,Fiction, fantasy, paranormal,Fiction, fantasy, urban,Fiction, psychological,Friendship,Languages, modern,Large type books,Magic,Manuscripts,Modern & contemporary fiction (post c 1945),New York Times bestseller,Psychological fiction,Secret societies,Supernatural,Television adaptations,nyt:trade-fiction-paperback=2010-06-20"
14318,"Dimaline, Cherie",The Marrow Thieves,,,,Formal,Affiliation Unknown,Off Shelves,,Banned/Removed,,,School,12,2023,FL,Clay County District Schools,,Clay,,,,,02/16/2024,https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing,,,,02/16/2024,"Aboriginal & Indigenous,Apocalyptic & Post-Apocalyptic,Bone marrow,Bone marrow -- Fiction,Bone marrow -- Juvenile fiction,Children's fiction,Dreams,Dreams -- Fiction,Dreams -- Juvenile fiction,Dreams, fiction,Environment,Fiction,Global warming,Global warming -- Fiction,Global warming -- Juvenile fiction,Indians of North America,Indians of North America -- Fiction,Indians of North America -- Juvenile fiction,Indians of north america, fiction,Juvenile fiction,Native peoples,Nature & the Natural World,People & Places,Procurement of organs, tissues,Procurement of organs, tissues, etc -- Fiction,Procurement of organs, tissues, etc. -- Juvenile fiction,Science fiction,YOUNG ADULT FICTION,Young adult fiction"
14319,"Nijkamp, Marieke",This Is Where It Ends,,,,Formal,Affiliation Unknown,Off Shelves,,Banned/Removed,,,School,12,2023,FL,Clay County District Schools,,Clay,,,,,02/16/2024,https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing,,,,02/16/2024,"Child abuse,Children's fiction,Fiction,High school students,High schools,Interpersonal relations,Interpersonal relations, fiction,Juvenile fiction,New York Times bestseller,Rape,Revenge,School shootings,Schools,Schools, fiction,Violence, fiction,nyt:young-adult-hardcover=2016-03-20"
14320,"Glines, Abbi",Under the Lights,,,,Formal,Affiliation Unknown,Off Shelves,,Banned/Removed,,,School,12,2023,FL,Clay County District Schools,,Clay,,,,,02/16/2024,https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing,,,,02/16/2024,"Alabama, fiction,Children's fiction,Family, fiction,Football, fiction,Friendship, fiction,Love, fiction,Schools, fiction"
14321,"Hartzler, Aaron",What We Saw,,,,Formal,Affiliation Unknown,Off Shelves,,Banned/Removed,,,School,12,2023,FL,Clay County District Schools,,Clay,,,,,02/16/2024,https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing,,,,02/16/2024,"Children's fiction,Fiction,Rape,Rape, fiction,Witnesses"
14322,"King, Stephen",Wizard and Glass,,,,Formal,Affiliation Unknown,Off Shelves,,Banned/Removed,,,School,12,2023,FL,Clay County District Schools,,Clay,,,,,02/16/2024,https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing,,,,02/16/2024,"Adventure fiction,American literature,Dark tower (imaginary place), fiction,Epic fiction,Fantastic fiction,Fiction, fantasy, epic,Fiction, fantasy, general,Roland (Fictitious character : King),Roland (Fictitious character : King) -- Fiction.,Roland (Fictitious character),Roland (fictitious character : king), fiction,Roland of Gilead (Fictitious character),adventure stories,crystal balls,dark fantasy,epic literature,fantasy,fantasy fiction,fiction,friendship,good and evil,gunfighters,heroes,heroes and heroines,horror fiction,horror tales,loss,parallel universes,supernatural,thrillers,trains"
14323,"Walker, Alice",The Color Purple,,,,Formal,Affiliation Unknown,Off Shelves,,Banned/Removed,,,School,12,2023,FL,Clay County District Schools,,Clay,,,,,02/16/2024,https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing,,,,02/16/2024,"1000blackgirlbooks,Abused wives,Adult child sexual abuse victims,African American authors,African American women,African Continental Ancestry Group,African americans, fiction,American fiction,American fiction (fictional works by one author),American literature,Blacks,Books that Shaped Work in America,Domestic fiction,Epistolary fiction,Fiction,Fiction & Literature,Fiction, african american & black, general,Fiction, african american, general,Fiction, family life,Fiction, family life, general,Fiction, general,Fictional Works Publication Type,Friendship,Historical fiction,Imprimés espagnols,LGBTQ novels,Language readers,Large type books,Lesbian fiction,Lesbians,Long Now Manual for Civilization,National Book Award Winner,New York Times reviewed,Noires,Noires américaines,Racisme,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 7,Reading Level-Grade 8,Reading Level-Grade 9,Roman espagnol,Romans,Romans en novellen ; vertaald,Romans, nouvelles,Sisters,Sisters, fiction,Social conditions,Southern states, fiction,Spanish fiction,Spanish imprints,Translations into Spanish,Vrouwenemancipatie,award:national_book_award=1983,award:national_book_award=fiction,open_syllabus_project,social life and customs,songs and music"
14324,"Acevedo, Elizabeth",With the Fire on High,,,,Formal,Affiliation Unknown,Off Shelves,,Banned/Removed,,,School,12,2023,FL,Clay County District Schools,,Clay,,,,,02/16/2024,https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing,,,,02/16/2024,"Coming of age,Cooking,Fiction,High school students,New York Times bestseller,New York Times reviewed,Single mothers,Teenage mothers,Young adult fiction,Young adult fiction, coming of age,Young adult fiction, cooking & food,Young adult fiction, people & places, united states, hispanic & latino,nyt:young-adult-hardcover=2019-05-26"
14325,"Medina, Meg",Yaqui Delgado Wants to Kick Your Ass,,,,Formal,Affiliation Unknown,Off Shelves,,Banned/Removed,,,School,12,2023,FL,Clay County District Schools,,Clay,,,,,02/16/2024,https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing,,,,02/16/2024,"Bullies, fiction,Bullying, fiction,Children's fiction,Girls, fiction,Schools, fiction,Young adult fiction, people & places, united states, hispanic & latino,Young adult fiction, social themes, bullying,Young adult fiction, social themes, self-esteem & self-reliance"
14326,"Cormier, Robert",Beyond the Chocolate War,,,,Formal,Affiliation Unknown,Off Shelves,,Banned/Removed,,,School,1,2024,FL,Clay County District Schools,,Clay,,,,,02/16/2024,https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing,,,,,"Adventure and adventurers, fiction,Children's fiction,Fiction,Food, fiction,High school,High schools,Juvenile fiction,Peer pressure,Preparatory school students,Reading Level-Grade 10,Reading Level-Grade 11,Reading Level-Grade 12,Reading Level-Grade 8,Reading Level-Grade 9,Schools,Young adult fiction"
14327,"Hutchinson, Shaun David",Brave Face: A Memoir,,,,Formal,Affiliation Unknown,Off Shelves,,Banned/Removed,,,School,1,2024,FL,Clay County District Schools,,Clay,,,,,02/16/2024,https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing,,,,,Unknown
14328,"Oseman, Alice",Loveless,,,,Formal,Affiliation Unknown,Off Shelves,,Banned/Removed,,,School,1,2024,FL,Clay County District Schools,,Clay,,,,,02/16/2024,https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing,,,,,Young Adults
14329,"Cremer, Andrea",Rise,,,,Formal,Affiliation Unknown,Off Shelves,,Banned/Removed,,,School,1,2024,FL,Clay County District Schools,,Clay,,,,,02/16/2024,https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing,,,,,"Children's fiction,Fantasy fiction,Fiction,Knights and knighthood,Knights and knighthood, fiction,Magic,Paranormal fiction,Supernatural,Supernatural, fiction"
14330,"Poehler, Amy",Yes Please,,,,Formal,Affiliation Unknown,Off Shelves,,Banned/Removed,,,School,1,2024,FL,Clay County District Schools,,Clay,,,,,02/16/2024,https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing,,,,,"Actors,Actors, biography,Actors, united states,Anecdotes,Biography,Comedians, biography,Comedians, united states,Humor, form, essays,New York Times bestseller,New York Times reviewed,Television actors and actresses,Women,Women comedians,Women entertainers,nyt:humor=2014-11-09"
14331,"Flom, Jason",Lulu is a Rhinoceros,,"Flom, Allison","Corrigan, Sophie",Formal,Affiliation Unknown,Off Shelves,"No violation of Florida Statute, Remain in Collection",Retained,,,School,10,2023,FL,Clay County District Schools,,Clay,,,,,02/16/2024,https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing,,,,,"Dogs,Identity (Philosophical concept),Juvenile fiction,Rhinoceroses"
